城市,产品名称,金融机构,最低首付,年手续费,分期期限,贷款限额,产品费率/期限,产品说明,申请条件,例子,例子图片,更多车源链接,车价下限,车价上限,贷款周期,首付比例,产品费率,人人车固定费用,金融机构固定费用,增项服务费率,里程上限,车龄上限
全国,最低成本,浦发银行,30%,5.00%,1-3年,4-50万,1年5%，2年10%，3年15%,"最低首付：30%
贷款期限：1/2/3年
年手续费：5%
贷款限额：4-50万
贷款形式：信用贷款
还款方式：首月缴纳全部手续费
金融机构：浦发银行
服务费用：人人车金融服务费1500元","资质要求：征信良好，银行流水大于月供，必备本地房产
车辆要求：行驶里程在10万公里（含）内，车龄小于5年（含）且价格大于6万元（含）
所需资料：身份证/近一年银行对账单/社保卡/房本","车价：10万/分期3年
首付：3万
月供：1945元
总手续费：10500元，首期缴纳
服务费用：人人车金融服务费1500元",,pr%7C6-100_ag%7C0-5_mi%7C0-10_%7C?,60000 ,710000 ,36,0.3,0.15,1500,0,0,100000,5
北京,最低成本,浦发银行,30%,5.00%,1-3年,4-50万,1年5%，2年10%，3年15%,"最低首付：30%
贷款期限：1/2/3年
年手续费：5%
贷款限额：4-50万
贷款形式：信用贷款
还款方式：首月缴纳全部手续费
金融机构：浦发银行
服务费用：人人车金融服务费1500元","资质要求：征信良好，银行流水大于月供，必备本地房产
车辆要求：行驶里程在10万公里（含）内，车龄小于5年（含）且价格大于6万元（含）
所需资料：身份证/近一年银行对账单/社保卡/房本","车价：10万/分期3年
首付：3万
月供：1945元
总手续费：10500元，首期缴纳
服务费用：人人车金融服务费1500元",,pr%7C6-100_ag%7C0-5_mi%7C0-10_%7C?,60000 ,710000 ,12,0.3,0.05,1500,0,0,100000,5
北京,最低成本,浦发银行,30%,5.00%,1-3年,4-50万,1年5%，2年10%，3年15%,"最低首付：30%
贷款期限：1/2/3年
年手续费：5%
贷款限额：4-50万
贷款形式：信用贷款
还款方式：首月缴纳全部手续费
金融机构：浦发银行
服务费用：人人车金融服务费1500元","资质要求：征信良好，银行流水大于月供，必备本地房产
车辆要求：行驶里程在10万公里（含）内，车龄小于5年（含）且价格大于6万元（含）
所需资料：身份证/近一年银行对账单/社保卡/房本","车价：10万/分期3年
首付：3万
月供：1945元
总手续费：10500元，首期缴纳
服务费用：人人车金融服务费1500元",,pr%7C6-100_ag%7C0-5_mi%7C0-10_%7C?,60000 ,710000 ,24,0.3,0.1,1500,0,0,100000,5
北京,最低成本,浦发银行,30%,5.00%,1-3年,4-50万,1年5%，2年10%，3年15%,"最低首付：30%
贷款期限：1/2/3年
年手续费：5%
贷款限额：4-50万
贷款形式：信用贷款
还款方式：首月缴纳全部手续费
金融机构：浦发银行
服务费用：人人车金融服务费1500元","资质要求：征信良好，银行流水大于月供，必备本地房产
车辆要求：行驶里程在10万公里（含）内，车龄小于5年（含）且价格大于6万元（含）
所需资料：身份证/近一年银行对账单/社保卡/房本","车价：10万/分期3年
首付：3万
月供：1945元
总手续费：10500元，首期缴纳
服务费用：人人车金融服务费1500元",,pr%7C6-100_ag%7C0-5_mi%7C0-10_%7C?,60000 ,710000 ,36,0.3,0.15,1500,0,0,100000,5
天津,最低成本,浦发银行,30%,5.00%,1-3年,1-30万,1年5%，2年10%，3年15%,"最低首付：30%
贷款期限：1/2/3年
年手续费：5%
贷款限额：1-30万
贷款形式：信用贷款
还款方式：首月缴纳全部手续费
金融机构：浦发银行
服务费用：人人车金融服务费1500元","资质要求：征信良好，银行流水大于月供，必备本地房产
车辆要求：行驶里程在10万公里（含）内，车龄小于7年（含）且车龄加贷款年限不超过8年，价格大于6万元（含）
所需资料：身份证/近一年银行对账单/社保卡/房本","车价：10万/分期3年
首付：3万
月供：1945元
总手续费：10500元，首期缴纳
服务费用：人人车金融服务费1500元",,pr%7C6-100_ag%7C0-5_mi%7C0-10_%7C?,60000 ,420000 ,12,0.3,0.05,1500,0,0,100000,5
天津,最低成本,浦发银行,30%,5.00%,1-3年,1-30万,1年5%，2年10%，3年15%,"最低首付：30%
贷款期限：1/2/3年
年手续费：5%
贷款限额：1-30万
贷款形式：信用贷款
还款方式：首月缴纳全部手续费
金融机构：浦发银行
服务费用：人人车金融服务费1500元","资质要求：征信良好，银行流水大于月供，必备本地房产
车辆要求：行驶里程在10万公里（含）内，车龄小于7年（含）且车龄加贷款年限不超过8年，价格大于6万元（含）
所需资料：身份证/近一年银行对账单/社保卡/房本","车价：10万/分期3年
首付：3万
月供：1945元
总手续费：10500元，首期缴纳
服务费用：人人车金融服务费1500元",,pr%7C6-100_ag%7C0-5_mi%7C0-10_%7C?,60000 ,420000 ,24,0.3,0.1,1500,0,0,100000,7
天津,最低成本,浦发银行,30%,5.00%,1-3年,1-30万,1年5%，2年10%，3年15%,"最低首付：30%
贷款期限：1/2/3年
年手续费：5%
贷款限额：1-30万
贷款形式：信用贷款
还款方式：首月缴纳全部手续费
金融机构：浦发银行
服务费用：人人车金融服务费1500元","资质要求：征信良好，银行流水大于月供，必备本地房产
车辆要求：行驶里程在10万公里（含）内，车龄小于7年（含）且车龄加贷款年限不超过8年，价格大于6万元（含）
所需资料：身份证/近一年银行对账单/社保卡/房本","车价：10万/分期3年
首付：3万
月供：1945元
总手续费：10500元，首期缴纳
服务费用：人人车金融服务费1500元",,pr%7C6-100_ag%7C0-5_mi%7C0-10_%7C?,60000 ,420000 ,36,0.3,0.15,1500,0,0,100000,6
全国,低门槛,平安银行,30%,4.48-12.31%,1-3年,4-500万,1年12.31%，2年8.96%，3年16.5%    ,"最低首付：30%
贷款期限：1/2/3年
年手续费：各城市不一样，请切换购车城市
贷款限额：4-500万
贷款形式：抵押贷款
金融机构：平安银行
机构收费：必须办理平安意外险
服务费用：人人车金融服务费1500元","资质要求：征信良好，银行流水大于月供，公司法人或者占股10%以上股东（公司注册满一年）、社保（一年以上）、房产三者有其一
车辆要求：行驶里程在10万公里（含）内，车龄小于5年（含）且价格大于8万元（含）
所需资料：身份证/暂住证/结婚证、离婚证、法院判决书/近一年银行对账单/社保卡、房本、公司营业执照","车价：10万/分期3年
首付：3万
月供：2353元
机构收费：3900元平安意外险
服务费用：人人车金融服务费1500元",,pr%7C8-1000_ag%7C0-5_mi%7C0-10_%7C?,80000 ,5720000 ,36,0.3,0.165,1500,3900,0,100000,5
北京,低门槛,平安银行,30%,5.5-6.62%,1-3年,4-20万,1年5.5%，2年10.74%，3年16.17%,"最低首付：30%
贷款期限：1/2/3年
年手续费：贷款额20万以下，1年5.5%，2年5.37%，3年5.39%，贷款款额 20万以上，1年6.62%，2年6.62%，3年6.62%
贷款限额：4-500万
贷款形式：抵押贷款
金融机构：平安银行
机构收费：必须办理平安意外险（3900元）
服务费用：人人车金融服务费1500元","资质要求：征信良好，银行流水大于月供，公司法人或者占股10%以上股东（公司注册满一年）、社保（一年以上）、房产三者有其一
车辆要求：行驶里程在10万公里（含）内，车龄小于5年（含）且价格大于8万元（含）
所需资料：身份证/暂住证/结婚证、离婚证、法院判决书/近一年银行对账单/社保卡、房本、公司营业执照","车价：10万/分期3年
首付：3万
月供：2259元
机构收费：3900元平安意外险
服务费用：人人车金融服务费1500元",,pr%7C8-1000_ag%7C0-5_mi%7C0-10_%7C?,80000 ,280000 ,12,0.3,0.055,1500,3900,0,100000,5
北京,低门槛,平安银行,30%,5.5-6.62%,1-3年,4-20万,1年5.5%，2年10.74%，3年16.17%,"最低首付：30%
贷款期限：1/2/3年
年手续费：贷款额20万以下，1年5.5%，2年5.37%，3年5.39%，贷款款额 20万以上，1年6.62%，2年6.62%，3年6.62%
贷款限额：4-500万
贷款形式：抵押贷款
金融机构：平安银行
机构收费：必须办理平安意外险（3900元）
服务费用：人人车金融服务费1500元","资质要求：征信良好，银行流水大于月供，公司法人或者占股10%以上股东（公司注册满一年）、社保（一年以上）、房产三者有其一
车辆要求：行驶里程在10万公里（含）内，车龄小于5年（含）且价格大于8万元（含）
所需资料：身份证/暂住证/结婚证、离婚证、法院判决书/近一年银行对账单/社保卡、房本、公司营业执照","车价：10万/分期3年
首付：3万
月供：2259元
机构收费：3900元平安意外险
服务费用：人人车金融服务费1500元",,pr%7C8-1000_ag%7C0-5_mi%7C0-10_%7C?,80000 ,280000 ,24,0.3,0.1074,1500,3900,0,100000,5
